album_name,song_name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Red (Taylor's Version),Begin Again (Taylor's Version),2021-11-12,72,0.519,0.527,7,-7.673,1,0.0274,0.075,0.0,0.132,0.267,78.915,238867,4
Red (Taylor's Version),The Moment I Knew (Taylor's Version),2021-11-12,69,0.636,0.402,7,-7.855,1,0.031,0.0494,0.0,0.107,0.208,125.952,285280,4
Red (Taylor's Version),Come Back...Be Here (Taylor's Version),2021-11-12,73,0.46,0.632,4,-6.031,1,0.0302,0.0158,0.0,0.0822,0.399,79.846,223333,4
Red (Taylor's Version),Girl At Home (Taylor's Version),2021-11-12,67,0.691,0.736,5,-6.974,1,0.0326,0.00955,1.88e-05,0.101,0.612,125.089,220520,4
Red (Taylor's Version),State Of Grace (Acoustic Version) (Taylor's Version),2021-11-12,67,0.445,0.131,7,-13.778,1,0.0564,0.663,1.57e-06,0.108,0.101,208.918,321640,3
Red (Taylor's Version),Ronan (Taylor's Version),2021-11-12,65,0.623,0.279,0,-10.802,1,0.031,0.661,0.0,0.193,0.38,116.04,264253,4
Red (Taylor's Version),Better Man (Taylor's Version) (From The Vault),2021-11-12,73,0.473,0.579,4,-5.824,1,0.0384,0.214,0.0,0.0877,0.255,73.942,297013,4
Red (Taylor's Version),Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),2021-11-12,77,0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,258813,4
Red (Taylor's Version),Babe (Taylor's Version) (From The Vault),2021-11-12,73,0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,224240,4
Red (Taylor's Version),Message In A Bottle (Taylor's Version) (From The Vault),2021-11-12,74,0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,225960,4
Red (Taylor's Version),Forever Winter (Taylor's Version) (From The Vault),2021-11-12,69,0.611,0.552,7,-5.828,1,0.031,0.256,0.0,0.134,0.41,116.012,263533,4
Red (Taylor's Version),I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),2021-11-12,76,0.391,0.715,0,-4.516,1,0.0495,0.167,0.0,0.183,0.473,149.654,285107,3
Red (Taylor's Version),Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),2021-11-12,71,0.61,0.488,3,-6.918,1,0.0293,0.817,0.0,0.312,0.443,125.039,240227,4
Red (Taylor's Version),The Very First Night (Taylor's Version) (From The Vault),2021-11-12,75,0.678,0.733,7,-5.025,1,0.0281,0.00115,0.0,0.104,0.581,121.009,200280,4
Red (Taylor's Version),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),2021-11-12,86,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,613027,4
1989 (Deluxe Edition),I Know Places - Voice Memo,2014-10-27,37,0.592,0.128,9,-17.932,0,0.589,0.829,0.0,0.527,0.15,78.828,216333,4
1989 (Deluxe Edition),I Wish You Would - Voice Memo,2014-10-27,36,0.781,0.357,0,-16.394,1,0.912,0.717,0.0,0.185,0.645,118.317,107133,4
